Data,Solar,Eólica,Hidrelétrica
2023-01-01,370,542,853
2023-01-02,307,470,731
2023-01-03,465,427,739
2023-01-04,484,423,733
2023-01-05,350,472,791
2023-01-06,493,526,718
2023-01-07,312,640,775
2023-01-08,371,669,733
2023-01-09,414,421,720
2023-01-10,319,640,682
2023-01-11,459,459,851
2023-01-12,374,680,760
2023-01-13,355,579,606
2023-01-14,487,437,838
2023-01-15,391,465,804
2023-01-16,373,461,749
2023-01-17,349,529,766
2023-01-18,481,685,831
2023-01-19,373,495,798
2023-01-20,308,624,666
2023-01-21,480,641,839
2023-01-22,458,658,838
2023-01-23,314,580,689
2023-01-24,392,662,617
2023-01-25,404,564,805
2023-01-26,486,628,612
2023-01-27,322,580,662
2023-01-28,431,646,644
2023-01-29,399,437,843
2023-01-30,499,485,863
2023-01-31,355,489,634
2023-02-01,456,574,696
2023-02-02,441,486,826
2023-02-03,465,677,713
2023-02-04,478,441,677
2023-02-05,495,429,656
2023-02-06,330,567,785
2023-02-07,360,509,818
2023-02-08,344,505,755
2023-02-09,474,479,786
2023-02-10,387,411,731
2023-02-11,471,578,612
2023-02-12,463,422,639
2023-02-13,331,436,680
2023-02-14,408,424,615
2023-02-15,433,424,601
2023-02-16,380,661,617
2023-02-17,493,521,796
2023-02-18,435,408,665
2023-02-19,341,695,701
2023-02-20,399,675,871
2023-02-21,395,441,725
2023-02-22,417,428,739
2023-02-23,410,649,797
2023-02-24,453,546,636
2023-02-25,486,482,876
2023-02-26,398,657,729
2023-02-27,370,497,683
2023-02-28,357,433,663
2023-03-01,357,478,722
2023-03-02,383,620,857
2023-03-03,336,406,755
2023-03-04,401,645,887
2023-03-05,363,504,872
2023-03-06,428,553,837
2023-03-07,301,404,775
2023-03-08,461,667,718
2023-03-09,480,497,820
2023-03-10,372,476,658
2023-03-11,357,521,842
2023-03-12,334,403,899
2023-03-13,314,643,729
2023-03-14,371,573,730
2023-03-15,484,463,700
2023-03-16,384,481,768
2023-03-17,382,450,804
2023-03-18,391,659,665
2023-03-19,312,557,765
2023-03-20,419,654,660
2023-03-21,415,503,650
2023-03-22,327,542,646
2023-03-23,428,655,681
2023-03-24,321,692,828
2023-03-25,394,689,759
2023-03-26,417,530,687
2023-03-27,401,405,651
2023-03-28,332,676,637
2023-03-29,351,662,868
2023-03-30,350,444,885
2023-03-31,320,633,633
2023-04-01,341,556,811
2023-04-02,406,580,726
2023-04-03,378,673,802
2023-04-04,355,673,615
2023-04-05,347,556,645
2023-04-06,471,425,659
2023-04-07,424,488,881
2023-04-08,391,628,812
2023-04-09,376,660,817
2023-04-10,457,438,611
2023-04-11,345,589,692
2023-04-12,307,410,749
2023-04-13,438,598,857
2023-04-14,361,489,832
2023-04-15,447,494,663
2023-04-16,496,575,704
2023-04-17,453,597,769
2023-04-18,416,572,618
2023-04-19,489,457,655
2023-04-20,398,595,853
2023-04-21,444,458,895
2023-04-22,388,535,830
2023-04-23,361,498,880
2023-04-24,479,650,612
2023-04-25,407,461,835
2023-04-26,422,641,668
2023-04-27,469,410,895
2023-04-28,401,619,672
2023-04-29,358,466,785
2023-04-30,449,501,854
2023-05-01,401,409,886
2023-05-02,331,447,876
2023-05-03,395,445,748
2023-05-04,417,521,707
2023-05-05,471,590,830
2023-05-06,368,627,884
2023-05-07,444,546,697
2023-05-08,431,549,696
2023-05-09,315,502,861
2023-05-10,304,564,702
2023-05-11,405,611,731
2023-05-12,434,478,747
2023-05-13,394,474,761
2023-05-14,366,498,852
2023-05-15,479,679,667
2023-05-16,430,476,630
2023-05-17,437,637,734
2023-05-18,434,690,825
2023-05-19,409,466,665
2023-05-20,423,651,701
2023-05-21,467,452,627
2023-05-22,325,563,637
2023-05-23,484,593,717
2023-05-24,445,600,611
2023-05-25,441,642,839
2023-05-26,307,587,613
2023-05-27,478,460,655
2023-05-28,348,622,738
2023-05-29,481,406,869
2023-05-30,428,685,664
2023-05-31,338,454,648
2023-06-01,488,615,838
2023-06-02,476,500,772
2023-06-03,367,562,643
2023-06-04,423,693,709
2023-06-05,397,691,796
2023-06-06,361,652,793
2023-06-07,473,448,725
2023-06-08,361,640,809
2023-06-09,438,524,698
2023-06-10,421,449,632
2023-06-11,415,454,670
2023-06-12,357,665,720
2023-06-13,352,660,811
2023-06-14,340,693,706
2023-06-15,409,606,676
2023-06-16,301,551,794
2023-06-17,480,534,885
2023-06-18,358,568,899
2023-06-19,388,690,633
2023-06-20,322,550,734
2023-06-21,476,477,852
2023-06-22,324,561,776
2023-06-23,486,507,878
2023-06-24,393,569,751
2023-06-25,374,439,643
2023-06-26,389,602,688
2023-06-27,471,630,631
2023-06-28,364,474,677
2023-06-29,371,564,894
2023-06-30,434,577,720
2023-07-01,471,550,739
2023-07-02,464,402,700
2023-07-03,396,610,717
2023-07-04,302,478,623
2023-07-05,364,496,749
2023-07-06,375,477,843
2023-07-07,379,629,602
2023-07-08,394,419,790
2023-07-09,438,421,774
2023-07-10,443,460,606
2023-07-11,397,428,848
2023-07-12,448,427,683
2023-07-13,383,486,735
2023-07-14,382,664,707
2023-07-15,381,601,894
2023-07-16,456,475,647
2023-07-17,383,661,849
2023-07-18,449,424,759
2023-07-19,455,657,725
2023-07-20,464,447,718
2023-07-21,315,583,896
2023-07-22,338,633,712
2023-07-23,360,651,874
2023-07-24,445,502,818
2023-07-25,484,404,683
2023-07-26,307,595,765
2023-07-27,491,651,735
2023-07-28,355,618,802
2023-07-29,450,429,724
2023-07-30,427,467,847
2023-07-31,454,602,764
2023-08-01,363,582,704
2023-08-02,464,682,696
2023-08-03,387,565,881
2023-08-04,413,695,636
2023-08-05,422,440,797
2023-08-06,370,559,617
2023-08-07,411,575,718
2023-08-08,456,508,722
2023-08-09,341,531,645
2023-08-10,370,553,640
2023-08-11,324,559,872
2023-08-12,425,543,861
2023-08-13,331,692,758
2023-08-14,333,474,759
2023-08-15,305,419,866
2023-08-16,415,633,838
2023-08-17,380,445,629
2023-08-18,490,632,631
2023-08-19,438,593,691
2023-08-20,335,513,745
2023-08-21,350,698,776
2023-08-22,333,690,613
2023-08-23,428,573,645
2023-08-24,436,441,770
2023-08-25,421,424,611
2023-08-26,489,514,782
2023-08-27,491,549,610
2023-08-28,344,555,784
2023-08-29,496,468,779
2023-08-30,391,548,753
2023-08-31,489,455,842
2023-09-01,484,621,755
2023-09-02,420,692,666
2023-09-03,317,474,849
2023-09-04,389,513,624
2023-09-05,470,644,800
2023-09-06,357,531,668
2023-09-07,392,462,740
2023-09-08,422,540,824
2023-09-09,489,655,704
2023-09-10,314,667,831
2023-09-11,482,413,739
2023-09-12,444,416,653
2023-09-13,470,525,724
2023-09-14,497,430,678
2023-09-15,413,512,849
2023-09-16,480,499,608
2023-09-17,373,657,748
2023-09-18,346,545,811
2023-09-19,445,572,777
2023-09-20,443,614,660
2023-09-21,329,557,756
2023-09-22,386,579,716
2023-09-23,380,699,829
2023-09-24,425,486,833
2023-09-25,419,542,782
2023-09-26,332,634,618
2023-09-27,396,441,728
2023-09-28,393,666,639
2023-09-29,316,577,629
2023-09-30,491,566,789
2023-10-01,359,411,748
2023-10-02,486,530,707
2023-10-03,347,663,832
2023-10-04,340,678,665
2023-10-05,330,421,648
2023-10-06,381,501,786
2023-10-07,403,440,835
2023-10-08,317,673,704
2023-10-09,324,524,874
2023-10-10,352,417,655
2023-10-11,350,674,747
2023-10-12,427,657,603
2023-10-13,317,601,653
2023-10-14,352,540,639
2023-10-15,452,518,872
2023-10-16,367,425,699
2023-10-17,423,586,636
2023-10-18,314,680,863
2023-10-19,311,680,800
2023-10-20,317,529,704
2023-10-21,411,695,830
2023-10-22,339,602,678
2023-10-23,462,554,720
2023-10-24,424,453,889
2023-10-25,328,670,689
2023-10-26,302,427,622
2023-10-27,310,462,756
2023-10-28,415,679,616
2023-10-29,403,625,627
2023-10-30,336,522,666
2023-10-31,401,520,785
2023-11-01,492,446,620
2023-11-02,381,524,893
2023-11-03,482,432,868
2023-11-04,349,500,778
2023-11-05,409,567,708
2023-11-06,487,546,799
2023-11-07,364,612,609
2023-11-08,483,468,750
2023-11-09,390,468,767
2023-11-10,388,616,833
2023-11-11,389,582,677
2023-11-12,460,691,806
2023-11-13,317,608,638
2023-11-14,321,605,826
2023-11-15,359,411,785
2023-11-16,465,642,610
2023-11-17,353,585,757
2023-11-18,462,416,873
2023-11-19,449,438,814
2023-11-20,389,624,691
2023-11-21,322,600,630
2023-11-22,400,578,638
2023-11-23,498,688,683
2023-11-24,330,516,662
2023-11-25,477,579,748
2023-11-26,332,529,716
2023-11-27,332,544,631
2023-11-28,423,417,626
2023-11-29,345,692,762
2023-11-30,364,454,744
2023-12-01,363,472,852
2023-12-02,370,697,803
2023-12-03,340,413,846
2023-12-04,359,618,842
2023-12-05,327,508,894
2023-12-06,403,620,877
2023-12-07,448,631,795
2023-12-08,372,561,877
2023-12-09,353,605,725
2023-12-10,361,547,613
2023-12-11,387,525,819
2023-12-12,478,579,613
2023-12-13,399,444,742
2023-12-14,428,605,822
2023-12-15,435,553,763
2023-12-16,379,538,735
2023-12-17,368,571,705
2023-12-18,468,551,664
2023-12-19,408,470,847
2023-12-20,475,476,699
2023-12-21,341,626,814
2023-12-22,369,668,770
2023-12-23,368,613,852
2023-12-24,411,556,876
2023-12-25,358,620,660
2023-12-26,482,519,684
2023-12-27,323,499,615
2023-12-28,419,651,617
2023-12-29,305,652,669
2023-12-30,433,659,603
2023-12-31,310,478,674
