Cliques Diários,CPC (R$),Categoria do Anúncio,Plataforma
15,4.92,Moda,LinkedIn
5,4.76,Tecnologia,Google Ads
46,3.92,Moda,LinkedIn
10,4.4,Educação,Google Ads
17,3.95,Entretenimento,Instagram
10,0.76,Entretenimento,Facebook
22,4.2,Entretenimento,Instagram
29,2.88,Alimentação,Instagram
44,1.25,Entretenimento,Instagram
34,3.97,Educação,LinkedIn
118,3.07,Tecnologia,LinkedIn
27,4.79,Tecnologia,Instagram
50,3.45,Alimentação,Facebook
36,2.5,Alimentação,Facebook
5,1.82,Moda,Instagram
70,3.41,Entretenimento,Instagram
17,1.75,Moda,LinkedIn
5,3.97,Educação,LinkedIn
54,1.1,Entretenimento,LinkedIn
6,1.25,Tecnologia,LinkedIn
5,1.86,Educação,Google Ads
17,4.73,Entretenimento,LinkedIn
33,2.11,Moda,Instagram
94,4.45,Tecnologia,LinkedIn
53,3.27,Tecnologia,Facebook
21,2.98,Alimentação,Google Ads
29,1.32,Moda,Facebook
54,2.46,Entretenimento,Facebook
17,0.53,Moda,LinkedIn
43,0.54,Entretenimento,Instagram
30,1.24,Moda,Facebook
13,0.91,Alimentação,Google Ads
5,4.26,Entretenimento,LinkedIn
23,2.65,Entretenimento,Google Ads
11,3.74,Moda,Google Ads
5,0.87,Entretenimento,Google Ads
23,4.37,Tecnologia,Instagram
6,3.04,Moda,Instagram
15,4.51,Tecnologia,Facebook
8,3.63,Entretenimento,LinkedIn
5,4.3,Entretenimento,Instagram
25,4.91,Tecnologia,Instagram
76,2.33,Alimentação,Instagram
5,4.26,Tecnologia,LinkedIn
36,2.28,Educação,Google Ads
38,0.92,Moda,Google Ads
5,3.39,Moda,Google Ads
26,3.72,Moda,Google Ads
35,2.49,Tecnologia,Instagram
72,1.15,Tecnologia,LinkedIn
102,1.83,Tecnologia,Facebook
54,2.79,Educação,Facebook
90,2.7,Educação,LinkedIn
21,3.66,Educação,Google Ads
6,0.92,Tecnologia,Instagram
5,3.86,Alimentação,Facebook
78,2.42,Educação,Instagram
14,1.37,Moda,LinkedIn
15,3.97,Entretenimento,Facebook
5,2.7,Moda,Google Ads
5,4.38,Educação,LinkedIn
21,1.87,Moda,LinkedIn
12,1.92,Educação,Google Ads
18,2.6,Educação,Facebook
5,0.87,Educação,Instagram
8,1.89,Educação,Google Ads
76,1.96,Tecnologia,LinkedIn
5,0.8,Alimentação,LinkedIn
28,4.96,Educação,Facebook
41,3.05,Moda,Facebook
18,2.62,Moda,Instagram
30,3.3,Alimentação,Facebook
16,4.57,Moda,Facebook
95,4.96,Entretenimento,LinkedIn
63,4.39,Alimentação,Instagram
5,1.01,Alimentação,Instagram
5,3.62,Entretenimento,Google Ads
67,2.18,Educação,Google Ads
5,2.48,Alimentação,Facebook
41,4.95,Alimentação,Facebook
5,1.87,Moda,LinkedIn
5,4.38,Tecnologia,Google Ads
18,4.15,Moda,Instagram
52,3.59,Tecnologia,LinkedIn
15,0.81,Educação,Google Ads
32,4.03,Moda,Facebook
14,1.65,Tecnologia,Instagram
80,4.42,Alimentação,Google Ads
5,4.59,Alimentação,Facebook
60,1.51,Tecnologia,LinkedIn
20,1.78,Tecnologia,Facebook
5,1.24,Alimentação,LinkedIn
62,0.74,Alimentação,Facebook
5,4.57,Tecnologia,Google Ads
22,1.02,Moda,Facebook
10,2.78,Tecnologia,LinkedIn
5,4.2,Entretenimento,Facebook
32,1.73,Moda,Google Ads
21,4.56,Alimentação,Facebook
10,4.54,Tecnologia,LinkedIn
37,4.15,Tecnologia,Google Ads
101,3.36,Tecnologia,Facebook
5,4.44,Tecnologia,LinkedIn
7,2.22,Alimentação,Instagram
18,1.3,Alimentação,LinkedIn
78,1.35,Educação,LinkedIn
15,4.02,Entretenimento,LinkedIn
70,4.48,Moda,Google Ads
72,4.72,Educação,Facebook
18,0.62,Entretenimento,Instagram
41,4.33,Alimentação,Facebook
8,1.57,Tecnologia,Facebook
43,1.96,Educação,Instagram
49,4.68,Educação,Facebook
105,2.39,Tecnologia,Instagram
46,4.42,Entretenimento,LinkedIn
29,2.51,Moda,Facebook
5,3.93,Moda,Instagram
27,0.92,Educação,Facebook
8,3.8,Moda,Instagram
14,3.52,Educação,LinkedIn
27,4.63,Educação,Facebook
8,1.96,Entretenimento,Instagram
5,0.9,Entretenimento,Google Ads
6,4.78,Alimentação,Facebook
14,2.43,Entretenimento,Facebook
20,4.81,Tecnologia,Facebook
17,1.9,Educação,Facebook
16,4.11,Alimentação,Instagram
10,3.17,Entretenimento,LinkedIn
33,0.93,Alimentação,Google Ads
26,4.82,Educação,Instagram
57,0.77,Tecnologia,LinkedIn
5,4.84,Alimentação,Instagram
5,1.36,Moda,Instagram
21,2.93,Educação,Facebook
9,3.75,Moda,Google Ads
22,0.98,Moda,Facebook
5,2.14,Educação,Facebook
50,3.72,Educação,Google Ads
75,3.24,Educação,Facebook
145,4.61,Entretenimento,Google Ads
8,2.07,Educação,Google Ads
39,2.49,Educação,LinkedIn
5,2.96,Tecnologia,Facebook
10,3.26,Moda,Google Ads
51,4.49,Moda,LinkedIn
18,3.22,Educação,Instagram
16,3.54,Entretenimento,LinkedIn
9,4.42,Educação,Google Ads
5,2.9,Alimentação,Instagram
36,4.46,Moda,Facebook
16,3.17,Entretenimento,LinkedIn
18,3.46,Alimentação,Facebook
14,1.4,Educação,LinkedIn
11,3.47,Entretenimento,LinkedIn
12,4.43,Tecnologia,Instagram
5,2.46,Entretenimento,LinkedIn
35,0.87,Moda,Facebook
5,1.89,Entretenimento,Facebook
27,5.0,Alimentação,Google Ads
58,4.57,Educação,Google Ads
5,2.99,Moda,Google Ads
32,2.9,Educação,Google Ads
7,2.43,Moda,Instagram
30,1.32,Tecnologia,LinkedIn
8,3.89,Entretenimento,Facebook
5,0.73,Educação,Facebook
10,2.55,Alimentação,Facebook
114,4.06,Entretenimento,LinkedIn
11,4.09,Entretenimento,LinkedIn
5,3.93,Moda,Facebook
20,3.81,Moda,Facebook
22,2.49,Moda,Instagram
67,4.33,Educação,Google Ads
45,4.32,Educação,LinkedIn
5,4.68,Educação,LinkedIn
7,4.44,Entretenimento,Google Ads
22,4.34,Moda,LinkedIn
42,3.0,Tecnologia,Facebook
48,2.02,Alimentação,LinkedIn
67,3.36,Tecnologia,Facebook
5,1.43,Entretenimento,LinkedIn
47,2.45,Tecnologia,Instagram
40,3.48,Moda,LinkedIn
9,4.77,Educação,LinkedIn
40,4.92,Alimentação,LinkedIn
43,0.95,Tecnologia,Facebook
33,2.56,Moda,Facebook
73,1.54,Tecnologia,Facebook
17,3.46,Entretenimento,Facebook
12,3.28,Moda,LinkedIn
39,2.53,Educação,Google Ads
5,2.6,Moda,Google Ads
36,3.1,Moda,Instagram
15,1.81,Alimentação,Instagram
25,4.67,Tecnologia,LinkedIn
8,1.17,Moda,Facebook
8,2.59,Tecnologia,Google Ads
10,3.06,Entretenimento,Facebook
5,1.33,Moda,Instagram
7,1.67,Educação,LinkedIn
15,2.71,Entretenimento,Google Ads
5,3.49,Tecnologia,Facebook
5,3.85,Alimentação,Instagram
49,2.07,Entretenimento,Instagram
12,3.46,Educação,LinkedIn
5,2.4,Entretenimento,Google Ads
64,2.93,Moda,Google Ads
12,3.07,Alimentação,Facebook
15,2.02,Educação,Facebook
128,3.45,Tecnologia,Facebook
11,2.62,Entretenimento,Facebook
52,2.31,Moda,Google Ads
25,3.7,Educação,Instagram
25,4.19,Moda,Facebook
7,3.92,Moda,Facebook
15,1.47,Educação,LinkedIn
35,3.68,Alimentação,LinkedIn
28,2.07,Entretenimento,LinkedIn
71,4.27,Moda,Google Ads
5,3.33,Alimentação,Google Ads
6,3.73,Moda,Google Ads
17,1.46,Alimentação,Instagram
158,1.4,Alimentação,Facebook
5,2.28,Alimentação,Google Ads
5,3.35,Educação,Facebook
31,2.33,Moda,Google Ads
56,0.88,Entretenimento,Instagram
33,0.66,Tecnologia,Facebook
18,3.25,Educação,LinkedIn
