Curso,Nota Final
Machine Learning,71.7328282912786
Análise de Dados,83.04325706736552
Python Básico,77.07976298866178
Python Básico,74.61862957969234
Machine Learning,84.20276153227334
Análise de Dados,69.56129715401039
Python Básico,93.6825696566664
Machine Learning,92.69349959170646
Machine Learning,70.50059835291057
Análise de Dados,61.60259385065241
Python Básico,84.4844044053684
Análise de Dados,90.27835503083294
Análise de Dados,72.43064739386779
Análise de Dados,61.05114562013553
Python Básico,75.8272428384119
Python Básico,72.39807222866334
Machine Learning,79.44807356893283
Machine Learning,83.8729790361249
Python Básico,61.97382302169446
Python Básico,73.3317432519788
Python Básico,57.94178374454279
Machine Learning,72.79631252311084
Machine Learning,80.4627625684664
Machine Learning,83.20008710189241
Análise de Dados,71.96370457075241
Análise de Dados,92.41751095552078
Python Básico,83.76036333536375
Análise de Dados,82.95117393104266
Análise de Dados,71.08442641174135
Machine Learning,63.738501723804944
Machine Learning,92.61017484919064
Machine Learning,85.00557907030824
Machine Learning,53.80054500680647
Python Básico,94.08158895635017
Python Básico,64.47521952044093
Machine Learning,75.81323100567276
Análise de Dados,84.47082679707724
Machine Learning,69.66283260438462
Machine Learning,75.13596459246635
Machine Learning,60.61619563109218
Python Básico,85.1326977697454
Análise de Dados,71.19375178127656
Python Básico,78.05636445337176
Análise de Dados,86.89978221940916
Python Básico,79.81494756767266
Análise de Dados,83.35243078783056
Python Básico,87.26097041452941
Análise de Dados,92.21692829296525
Análise de Dados,72.88622390518684
Machine Learning,62.84017045013037
Análise de Dados,81.39726400447614
Machine Learning,62.52489905956816
Machine Learning,75.31376958796577
Machine Learning,80.55768994475137
Análise de Dados,90.56300846157802
Análise de Dados,87.8408269554653
Análise de Dados,69.74742348874786
Python Básico,99.52353799115599
Análise de Dados,57.93672928122371
Análise de Dados,79.50060173811406
Python Básico,64.57859691476025
Machine Learning,60.232555670412744
Python Básico,69.8129858540494
Python Básico,74.82447573964521
Análise de Dados,94.51021222824552
Análise de Dados,78.6809771575132
Python Básico,65.23700725487485
Python Básico,78.54308531783632
Análise de Dados,68.61049140164602
Machine Learning,72.53281595629407
Machine Learning,69.8879486914745
Análise de Dados,71.69852108465332
Machine Learning,60.49822756996306
Python Básico,74.76017149805854
Análise de Dados,45.877631228585045
Machine Learning,71.04813387010611
Python Básico,80.96749567101084
Machine Learning,56.716474441572515
