Cultura,Produtividade Semanal (t)
Trigo,46.732828291278594
Soja,58.04325706736551
Milho,52.07976298866178
Milho,49.618629579692346
Trigo,59.20276153227334
Soja,44.5612971540104
Milho,68.6825696566664
Trigo,67.69349959170646
Trigo,45.500598352910565
Soja,36.60259385065241
Milho,59.48440440536839
Soja,65.27835503083294
Soja,47.430647393867794
Soja,36.05114562013553
Milho,50.827242838411905
Milho,47.39807222866334
Trigo,54.44807356893283
Trigo,58.872979036124896
Milho,36.97382302169446
Milho,48.33174325197881
Milho,32.94178374454279
Trigo,47.79631252311084
Trigo,55.462762568466395
Trigo,58.20008710189241
Soja,46.96370457075241
Soja,67.41751095552078
Milho,58.76036333536374
Soja,57.95117393104267
Soja,46.08442641174135
Trigo,38.738501723804944
Trigo,67.61017484919064
Trigo,60.005579070308244
Trigo,28.800545006806473
Milho,69.08158895635017
Milho,39.47521952044093
Trigo,50.81323100567276
Soja,59.47082679707724
Trigo,44.66283260438461
Trigo,50.13596459246636
Trigo,35.61619563109218
Milho,60.132697769745405
Soja,46.19375178127656
Milho,53.05636445337175
Soja,61.89978221940916
Milho,54.814947567672654
Soja,58.352430787830556
Milho,62.26097041452941
Soja,67.21692829296525
Soja,47.886223905186846
Trigo,37.84017045013037
Soja,56.39726400447614
Trigo,37.52489905956816
Trigo,50.31376958796576
Trigo,55.557689944751374
Soja,65.56300846157802
Soja,62.8408269554653
Soja,44.747423488747856
Milho,74.52353799115599
Soja,32.93672928122371
Soja,54.50060173811405
Milho,39.57859691476026
Trigo,35.232555670412744
Milho,44.812985854049394
Milho,49.8244757396452
Soja,69.51021222824552
Soja,53.68097715751319
Milho,40.237007254874854
Milho,53.543085317836315
Soja,43.610491401646016
Trigo,47.532815956294066
Trigo,44.887948691474506
Soja,46.69852108465332
Trigo,35.49822756996306
Milho,49.76017149805855
Soja,20.877631228585045
Trigo,46.04813387010611
Milho,55.96749567101084
Trigo,31.716474441572515
Milho,21.36055519479015
Trigo,56.924712479739554
Trigo,62.09303015975364
Soja,56.653958827794554
Trigo,43.84932715884999
Soja,48.7810735020935
Milho,54.139411771253435
Soja,38.547375395398525
Trigo,49.58121887762548
Soja,53.519585296907955
Soja,24.899895602333416
Milho,48.80397135520999
Trigo,54.33449227525419
Trigo,45.70351725191061
