Setor,Horas de Trabalho Semanais
Financeiro,38.7532952174164
TI,37.921425300737766
Financeiro,31.349629672426076
Financeiro,37.87356187214436
TI,44.71584106148389
TI,34.327261750262366
Financeiro,33.20052683943047
Vendas,43.52464109225075
Financeiro,41.17120148132145
Financeiro,53.3054760718913
Financeiro,31.40714919620944
Financeiro,41.601936210190985
TI,39.57945453576158
Financeiro,38.29640642026598
Vendas,42.55256109247334
TI,37.85137321156305
Vendas,28.318118950077
Vendas,33.76321235943678
Vendas,44.822167236601594
Vendas,43.860144519022
TI,36.134404051748184
TI,40.51798532072409
Vendas,51.919690232449184
Vendas,37.84406600916578
TI,37.94208340109003
TI,38.952993525572616
TI,41.03487854784313
Financeiro,36.255494086136245
Financeiro,41.03064681549542
Financeiro,28.278852031252
Vendas,39.68199381893126
Financeiro,38.25314905457583
Vendas,36.91271511547988
Vendas,35.62371325799762
Financeiro,34.95313312057793
Vendas,33.93239451519988
Financeiro,26.409658759060857
Financeiro,36.65990824078564
TI,43.481648947705445
Financeiro,36.3229448796458
TI,41.1755627545099
Financeiro,32.59899564979757
Financeiro,31.47151222979455
TI,34.246190784661636
TI,32.87250065139922
Financeiro,32.084801943324734
Vendas,40.24887019244367
TI,46.89462171942981
Vendas,34.665283125217435
Vendas,29.540908718748483
Vendas,41.2839866558199
TI,30.82049590312984
Vendas,32.08367189272791
TI,40.474978270958474
Vendas,37.173451927232186
Financeiro,34.56412412333745
Financeiro,38.341756255519144
TI,35.95295584714221
Financeiro,47.44773828063292
Financeiro,34.620976328893015
Vendas,33.432937313387924
TI,35.72483413006217
Vendas,35.93619193404947
Vendas,40.97821825902161
Vendas,28.04231106734293
Vendas,40.13012933417001
Vendas,35.293572791800166
Vendas,41.884115022128015
Vendas,37.761781444214776
TI,40.5934722885889
Financeiro,36.042990939590844
Vendas,40.19011298710838
Vendas,46.31884894724126
Vendas,34.30381784272446
Vendas,37.46402762419437
Vendas,35.56891357123438
Vendas,45.96490897129732
Financeiro,35.83029200494974
Financeiro,34.33653899348078
Vendas,35.10861543017931
Financeiro,37.32141308840884
TI,34.032474911636946
Vendas,36.15775005456652
TI,38.78600927548539
TI,37.422632950381335
Vendas,42.15854288487924
Financeiro,36.40322461092611
TI,36.97691747261206
Vendas,39.35530874371132
TI,49.224033030052816
TI,34.06199044820564
TI,47.61812206072639
TI,32.08213416027731
Financeiro,39.14485216115219
TI,36.303068534109016
TI,33.92364531739038
TI,41.49546190929995
Financeiro,40.99948316855503
TI,35.59375933088247
TI,27.531029979824687
Financeiro,38.63962028297987
Financeiro,43.11363288765453
Financeiro,42.01450888955741
TI,48.04748225433322
Financeiro,57.468341035439934
Financeiro,45.31099869800646
TI,46.542146942060995
Financeiro,43.185453851033195
TI,51.37948625913794
Vendas,46.25120008768263
Financeiro,47.99284541571459
Vendas,56.471654632161304
TI,43.8158744097548
Financeiro,39.83230190265809
TI,45.570314784015345
Vendas,51.0899385369541
TI,46.01141405620865
Financeiro,50.48510863057128
Financeiro,36.64820138146652
Vendas,35.0553261967641
TI,37.63969907722327
Financeiro,31.86094158790132
Vendas,42.88239662906737
Financeiro,38.55979691320067
Financeiro,51.84169082915503
TI,31.67020510242024
Financeiro,54.43938141309282
TI,34.15039731809961
Financeiro,32.0941531908132
Vendas,35.40278937879142
Financeiro,57.61024068588603
TI,41.679318901015975
TI,46.235484093230426
Vendas,40.52886609817584
Financeiro,41.279370934558344
Financeiro,37.95295957412565
Vendas,42.40595167084213
Financeiro,45.956799135053714
Financeiro,55.42644407858316
TI,27.004249001123906
Financeiro,54.88656247514002
Financeiro,46.22368341621179
Vendas,39.057897738775786
Vendas,37.61821213632537
TI,50.34940516295
Financeiro,43.831828305508324
Financeiro,29.727479050408576
Financeiro,44.90455682669847
TI,51.15497228379747
TI,48.86291727030773
Vendas,36.98513704369476
TI,31.26394156757315
Financeiro,39.39221487214809
Financeiro,60.0
TI,29.64000841122402
Financeiro,35.25811922810462
Financeiro,45.13633511786077
TI,41.003798019250524
TI,40.39836083415144
Financeiro,58.19776798400805
Financeiro,35.173920463696184
Financeiro,41.88575561835924
Vendas,43.615259534422364
Vendas,35.56210651939603
Vendas,30.474778089545467
TI,44.15454123402031
Vendas,56.50933260703126
TI,45.236663160940196
TI,42.72058069585329
Vendas,42.66184348640383
Vendas,39.93265811346052
Vendas,51.46785856112802
Financeiro,37.95646180966509
Vendas,31.1457161246515
Financeiro,29.34676859508364
TI,42.632072113952454
Financeiro,50.48553970544241
Vendas,43.89988201297552
TI,39.461049717834854
TI,45.66753037249583
TI,43.48969875115701
Financeiro,48.60952378923413
Vendas,52.61203109949419
TI,34.36487897141604
TI,23.283227490852813
TI,39.1877056110364
Financeiro,33.84526826207943
Financeiro,48.65566549259609
Vendas,36.2053296372232
Financeiro,26.993770891488456
TI,37.406388409538565
Vendas,30.064205396329207
TI,54.721261752086804
TI,45.77313563558455
Financeiro,47.18046487210971
Vendas,46.28821227923886
Financeiro,48.721369274227406
Financeiro,51.06673620055259
Vendas,37.68203712540325
TI,30.640306936066477
TI,34.918397576514025
Vendas,39.72850225756408
TI,24.613948111235835
Vendas,46.856355299762996
Vendas,28.619516678902464
Financeiro,43.59455995497485
Vendas,38.99157526476682
Financeiro,41.71105194789792
TI,37.16848155225915
TI,41.30323886735839
TI,37.16873485529278
TI,36.66291312518807
Financeiro,34.616582011832165
TI,49.15497974350499
Vendas,42.20145650258184
Vendas,41.25698117579415
Vendas,34.74662927180823
Financeiro,38.590909998464156
TI,34.07662475396245
TI,37.05301882750326
TI,32.74526566263408
Financeiro,49.534864793215306
Vendas,35.45856345693043
Vendas,34.749527062791294
TI,32.04633834698447
Vendas,35.372767230509716
Vendas,37.03063943460831
Financeiro,39.70312268330081
Financeiro,36.12806674481508
Financeiro,30.396333945834197
Financeiro,30.912550937102573
TI,44.07795801498051
Financeiro,39.26326750505491
Vendas,43.8933594475213
TI,44.68165098652001
Vendas,40.90647977291637
Vendas,32.609615394941045
Vendas,41.13750952096353
Financeiro,48.3975798871164
Financeiro,37.31543185445117
TI,42.04369150773016
TI,39.91733226839685
Financeiro,48.23426677928348
Vendas,35.933283442039695
TI,46.92119123204721
Financeiro,37.74993622978111
Financeiro,35.835124278955035
Financeiro,40.65916043825949
Vendas,42.05474150804508
Financeiro,51.46917763905657
Financeiro,41.91722547321229
